Mann, der, 👨
Beispiel, das, 📝
Berg, der, ⛰️
Besen, der, 🧹
Besuch, der, 👥
Bett, das, 🛏️
Beule, die, 🤕
Biber, der, 🦫
Bibliothek, die, 📚
Biene, die, 🐝
Bild, das, 🖼️
Bilderrahmen, der, 🖼️
Bindung, die, 🔗
Biotonne, die, ♻️
Biotop, das, 🌿
Birne, die, 🍐
Blatt, das, 🍃
Bleigießen, das, 🕯️
Bleistift, der, ✏️
Blitz, der, ⚡
Blockflöte, die, 🎶
Blume, die, 🌸
Blumenstrauß, der, 💐
Blut, das, 🩸
Boden, der, 🌍
Brief, der, ✉️
Brille, die, 👓
Brot, das, 🍞
Brücke, die, 🌉
Bruder, der, 👦
Brunnen, der, ⛲
Bub, der, 👦
Buch, das, 📖
Bücherei, die, 📚
Burg, die, 🏰
Büro, das, 🏢
Bus, der, 🚌
Butter, die, 🧈
Cousin, der, 👦
Cowboyhut, der, 🤠
Dach, das, 🏠
Dachs, der, 🦡
Dackel, der, 🐕
Daumen, der, 👍
Decke, die, 🧺
Denkmal, das, 🗿
Dezember, der, 🗓️
Dienstag, der, 📅
Dinosaurier, der, 🦖
Direktion, die, 🏫
Direktor, der, 👨‍🏫
Direktorin, die, 👩‍🏫
Discman, der, 💿
Doktor, der, 👨‍⚕️
Doktorin, die, 👩‍⚕️
Dom, der, ⛪
Donnerstag, der, 📅
Dorf, das, 🏘️
Drache, der, 🐉
Durst, der, 🥤
DVD, die, 💿
CD, die, 💿
Cent, der, 🪙
Chance, die, 🍀
Christbaum, der, 🎄
Christkind, das, 🎄
Clown, der, 🤡
Cola, die, 🥤
Computer, der, 💻
Edelstein, der, 💎
Ei, das, 🥚
Eichhörnchen, das, 🐿️
Einladung, die, 💌
Eis, das, 🍦
Eisenbahn, die, 🚂
Eislaufplatz, der, ⛸️
Eisregen, der, 🌧️
Elefant, der, 🐘
Eltern, die, 👨‍👩‍👧
Ende, das, 🏁
Ente, die, 🦆
Erde, die, 🌍
Esel, der, 🐴
Essen, das, 🍽️
Esszimmer, das, 🍽️
Fahrrad, das, 🚲
Fahrt, die, 🚗
Fahrverbot, das, 🚫
Familie, die, 👨‍👩‍👧
Farbe, die, 🎨
Fasching, der, 🎭
Faschingsfest, das, 🎭
Faxgerät, das, 📠
Februar, der, 🗓️
Feder, die, 🪶
Federschmuck, der, 🪶
Fell, das, 🐾
Fenster, das, 🪟
Ferien, die, 🏖️
Fernseher, der, 📺
Fest, das, 🎉
Feuer, das, 🔥
Feuerwehr, die, 🚒
Feuerwerk, das, 🎆
Fieber, das, 🤒
Filialleiter, der, 👨‍💼
Filialleiterin, die, 👩‍💼
Film, der, 🎬
Finger, der, ☝️
Flasche, die, 🍼
Fleisch, das, 🥩
Flöte, die, 🎶
Flughafen, der, ✈️
Flugzeug, das, ✈️
Fluss, der, 🏞️
Frage, die, ❓
Frau, die, 👩
Freitag, der, 📅
Freund, der, 😊
Freundin, die, 😊
Freundschaftsband, das, 🎗️
Friedhof, der, 🪦
Frost, der, ❄️
Früchtetee, der, 🫖
Früh, die, 🌅
Frühling, der, 🌷
Fuchs, der, 🦊
Füllfeder, die, 🖋️
Fuß, der, 🦶
Fußball, der, ⚽
Fußballplatz, der, ⚽
Gefrierpunkt, der, 🧊
Gefühl, das, 💭
Geheimgang, der, 🚪
Geige, die, 🎻
Geist, der, 👻
Geld, das, 💶
Gemüse, das, 🥕
Geschäft, das, 🏪
Geschenk, das, 🎁
Geschichte, die, 📚
Geschirrspüler, der, 🍽️
Geschirrspüler, die, 🍽️
Gämse, die, ✨
Gans, die, ✨
Garage, die, ✨
Garten, der, ✨
Gasse, die, ✨
Gasthaus, das, 🌿
Geburtstag, der, 📅
Geburtstagsparty, die, 📅
Geburtstagspartys, die, 📅
Gedicht, das, ✨
Grippe, die, 🤧
Großeltern, die, 👵
Gürtel, der, 👖
Gutschein, der, 🎟️
Gesicht, das, 🙂
Gespenst, das, 👻
Gesundheit, die, ❤️
Gewitter, das, ⛈️
Gips, der, 🩹
Gitarre, die, 🎸
Glas, das, 🥛
Glück, das, 🍀
Glücksschwein, das, 🐷
Glücksschweine, die, 🥚
Gold, das, 🥇
Gras, das, 🌱
Haare, die, 💇
Hagel, der, 🌨️
Hai, der, 🦈
Hallenbad, das, 🏊
Hals, der, 🧣
Hamburger, der, 🍔
Hamster, der, 🐹
Hand, die, ✋
Handschuhe, die, 🧤
Handy, das, 📱
Hase, der, 🐰
Haube, die, 🧢
Häuptling, der, 🪶
Haus, das, 🏠
Heft, das, 📓
Heimatmuseum, das, 🏛️
Heimatmuseen, die, 🥚
Herbst, der, 🍂
Herr, der, 👨
Hexe, die, 🧙‍♀️
Hilfe, die, 🆘
Hitze, die, 🔥
Katze, die, 🐈
Kaugummi, der, 🍬
Keks, das, 🍪
Keller, der, ✨
Kerze, die, 🕯️
Ketchup, das, ✨
Kind, das, 🧒
Kinderfest, das, 🎉
Kinderzimmer, das, 🧒
Kino, das, 🎬
Kirche, die, ⛪
Klasse, die, ✨
Klavier, das, 🎹
Kleeblatt, das, 🍀
Knallfrosch, der, 🎆
Kobold, der, ✨
Kohlrabi, der, ✨
König, der, 🤴
Königin, die, 👸
Kopf, der, 🙂
Kracher, der, ✨
Kran, der, 🏥
Krankenhaus, das, 🏥
Krankheit, die, 🥚
Krapfen, der, 🍩
Krippe, die, ✨
Krokodil, das, 🐊
Krone, die, ✨
Kübel, der, ✨
Küche, die, 🍳
Kuchen, der, 🍰
Kugel, die, ✨
Kuh, die, ✨
Kunde, der, ✨
Kundin, die, ✨
Kuscheltier, das, 🧸
Kusine, die, ✨
Höhle, die, ✨
Holz, das, 🪵
Honig, der, 🍯
Hose, die, 👖
Hummel, die, ✨
Hund, der, 🐕
Hunger, der, 🍽️
Husten, der, ✨
Hut, der, 🎩
Idee, die, 💡
Igel, der, 🦔
Indianer, der, ✨
Internet, das, ✨
Jacke, die, ✨
Jahr, das, 📆
Jänner, der, 🗓️
Jause, die, 🥪
Jeans, die, 👖
Joghurt, das, 🥣
Juli, der, 🗓️
Juni, der, 🗓️
Kaffee, der, ☕
Kakao, der, ☕
Kälte, die, 🥶
Kamerafrau, die, 👩
Kameramann, der, ✨
Kanarienvogel, der, 🐦
Kaninchen, das, 🐰
Kappe, die, 🧢
Karotte, die, 🥕
Käse, der, 🧀
Kasten, der, 🗄️
Laden, der, ✨
Mädchen, das, 👧
Mai, der, ✨
Mama, die, 👩
Manager, der, ✨
Managerin, die, ✨
Mandarine, die, ✨
Manege, die, ✨
Mann, der, ⛄
Mantel, der, 🧥
Mappe, die, ✨
Märchen, das, 📖
Marmelade, die, 🍯
März, der, 🗓️
Marzipan, das, 🍬
Marzipanschwein, das, 🥚
Marzipanschweine, die, 🥚
Masche, die, ✨
Masern, die, ✨
Maske, die, 🎭
Matte, die, ✨
Maus, die, 🐭
Medizin, die, 💊
Meer, das, 🌊
Meerschweinchen, das, 🥚
Mensch, der, 👤
Messer, das, 🔪
Meter, der, ✨
Milch, die, 🥛
Minute, die, ✨
Mist, der, 🗑️
Mittag, der, 🕛
Mitte, die, ✨
Mitternacht, die, 🌙
Mittwoch, der, 📅
Mobilbox, die, ✨
Monat, der, ✨
Mond, der, 🌙
Montag, der, 📅
Müll, der, ✨
Müllabfuhr, die, ✨
Mund, der, 👄
Muschel, die, 🐚
Museum, das, 🏛️
Musik, die, ✨
Müsli, das, ✨
Land, das, 🌍
Lasso, das, 🤠
Lehrer, der, 👨‍🏫
Lehrerin, die, 👩‍🏫
Lehrling, der, ✨
Leibchen, das, 👕
Leopard, der, 👴
Leseecke, die, 湖
Leute, die, ✨
Licht, das, ✨
Lieblingsspeise, die, 🥚
Lieblingsspeisen, die, 🥚
Lied, das, 🎵
Liegegips, der, 🩹
Lippenstift, der, 👄
Lkw, der, ✨
Loch, das, ✨
Löwe, der, ✨
Luftballon, der, 🎈
Mutter, die, 👩
Muttertag, der, 💐
Mütze, die, 🧢
Nachricht, die, ✉️
N, der, 🌆
N, die, 🌆
nächste Mal, das, ✨
Name, der, 🔤
Nase, die, 👃
Nashorn, das, 🦏
Nebel, der, 🌫️
Nest, das, 🪺
Nikolaus, der, ✨
Nixe, die, ✨
Notizblock, der, ✨
Notizzettel, der, ✨
November, der, 🗓️
Nummer, die, 🔢
Nuss, die, 🥜
Ohr, das, 👂
Oktober, der, 🗓️
Oma, die, 👵
Onkel, der, 👨
Orange, die, 🍊
Orangensaft, der, 🍊
Ort, der, 🏟️
Obst, das, 🍎
Obstsalat, der, 🍎
Paket, das, 📦
Panter, der, ✨
Papier, das, 📄
Papierkorb, der, 🗑️
Park, der, ✨
Party, die, ✨
Pause, die, ✨
Pech, das, ✨
Pferd, das, 🐴
Picknick, das, ✨
Pilot, der, 👨‍✈️
Pinguin, der, 🐧
Pistole, die, ✨
Pizza, die, 🍕
Pkw, der, ✨
Plan, der, ✨
Plastik, das, ♻️
Platz, der, ⛸️
Polster, der, ✨
Pommes frites, die, ✨
Pony, das, 🐴
Poster, das, 🖼️
Preis, der, 🥚
Prinzessin, die, 👸
Pudding, der, 🍮
Pullover, der, 🧥
Puppe, die, ✨
Pyjama, der, ✨
Qualle, die, ✨
Quelle, die, 💧
Rad, das, 🚲
Radio, das, 🚲
Rakete, die, 🚀
Ratte, die, 🐀
Rauchfangkehrer, der, 🧹
Rauchfangkehrer, die, 🧹
Regen, der, 🌧️
Regenwurm, der, 🪱
Reise, die, 🧳
Reiterstandbild, das, 🖼️
Restaurant, das, ✨
Rettung, die, ✨
Ring, der, 💍
Ritter, der, 🛡️
Rose, die, 🌹
Rücken, der, 🧍
Rucksack, der, 🎒
Ruine, die, ✨
Sonne scheint, die Sonne schien, ✨
Schere, die, ✂️
Scherz, der, ✨
Schi, der, 🎭
Schibrille, die, 👓
Schilift, der, ✨
Schirennen, das, ✨
Schistock, der, ✨
Schlafzimmer, das, 🏠
Schlange, die, ✨
Schloss, das, 🏰
Schmetterling, der, ✨
Schmetterlinge, die, ✨
Schnee, der, ❄️
Schneeballschlacht, die, ❄️
Schneefall, der, ✨
Schneemann, der, ⛄
Schneeregen, der, 🌧️
Schneesturm, der, 🌬️
Schnitzel, das, ✨
Schnupfen, der, ✨
Schokolade, die, 🍫
Schreibtisch, der, 🥚
Schuh, der, 👟
Salbe, die, ✨
Samstag, der, 📅
Sand, der, 🏖️
Sandburg, die, 🏖️
Schachtel, die, 📦
Schaf, das, 🎗️
Schal, der, ✨
Schule, die, 🏫
Schüler, der, 👧
Schülerin, die, 👧
Schulfreund, der, 😊
Schulhof, der, ✨
Schulküche, die, 🍳
Schultasche, die, 🎒
Schulwart, der, 🧹
Schwarztee, der, 👨‍⚕️
Schweinsbraten, der, 🥚
Schwester, die, 👧
Schwimmbad, das, 🏊
See, der, 🏞️
Seelöwe, der, 湖
Semmel, die, 🥪
September, der, 🗓️
Sessel, der, 🪑
Sheriff, der, 🤠
Sieger, der, ✨
Silber, das, 🥈
Socken, der, 🧦
Sommer, der, ☀️
Sonne, die, ☀️
Sonnenblume, die, 🌻
Sonntag, der, 📅
Spaghetti, die, 🍝
Spaß, der, 😄
Spiel, das, 🎲
Spielplatz, der, 🛝
Spielsachen, die, 🎲
Spielzeug, das, 🧸
Spinat, der, ✨
Spital, das, ✨
Sport, der, 🏟️
Sportplatz, der, 🏟️
Spritze, die, 💉
Stadt, die, 🏙️
Staubsauger, der, 👁️
Stein, der, 🪨
Stern, der, 🐣
Stiefel, der, 🥾
Stirnband, das, ✨
Stock, der, ✨
Strand, der, ✨
Straße, die, 🛣️
Strauch, der, 🌿
Strauß, der, 💐
Stück, das, ✨
Studio, das, ✨
Stuhl, der, 🪑
Stunde, die, ✨
Sturm, der, 🌬️
Sturzhelm, der, ⛑️
Supermarkt, der, ✨
Tablette, die, ✨
Tag, der, 📅
Tagebuch, das, 📔
Tankstelle, die, ✨
Tante, die, ✨
Vampir, der, 🧛
Vanillekipferl, das, 🍪
Vater, der, 👨
Verband, der, ✨
Verkäufer, der, ✨
Verkäuferin, die, ✨
Verkehr, der, ✨
Video, das, ✨
Violine, die, ✨
Vogel, der, 🐦
Volksschule, die, 🏫
Volleyball, der, ⚽
Vormittag, der, 🕛
Vorname, der, 🔤
Taschenlampe, die, ✨
Tasse, die, ☕
Taxi, das, 🚕
Teddy, der, 🧸
Tee, der, 🍵
Teich, der, 🏞️
Telefon, das, ☎️
Temperatur, die, ✨
Tennisplatz, der, ✨
Tier, das, 🐾
Tiger, der, 🐯
Tisch, der, 🪑
Toilette, die, ✨
Tor, das, 🥅
Tormann, der, 🥅
Torte, die, 🍰
Traum, der, 💭
T-Shirt, das, ✨
Tür, die, ✨
Turnsaal, der, ✨
Urlaub, der, 🏖️
Urwald, der, 🌲
Überraschung, die, 🎁
Uhu, der, 🦉
Unfall, der, 🚑
Vorzimmer, das, 🏠
Wal, der, 🌲
Wald, der, 🌲
Wanderung, die, 🥾
Wärme, die, 🔥
Wasser, das, 💧
Wassermann, der, ♒
WC, das, 🚽
Wecker, der, ⏰
Weg, der, 🛤️
Weihnachtsmann, der, 🎅
Wellensittich, der, 🐦
Werkstätte, die, 🛠️
Wespe, die, 🐝
Wiedersehen, das, 👋
Wiese, die, 🌿
Wind, der, 🌬️
Winter, der, ❄️
Witz, der, 😂
Woche, die, 🗓️
Wochenende, das, 🏖️
Wohnung, die, 🏠
Wohnzimmer, das, 🛋️
Wolke, die, ☁️
Wunde, die, 🩹
Wunder, das, ✨
Wunsch, der, 🌠
Wunschzettel, der, 📜
Wurstsemmel, die, 🥪
Wurstsemmeln, die, 🥪
Zahn, der, 🦷
Zähne, die, 🦷
Zahnschmerzen, die, 🦷
Zauberei, die, 🪄
Zauberer, der, 🧙
Zauberschloss, das, 🏰
Zauberschlösser, die, ✨
Zauberstab, der, 🪄
Zebra, das, 🦓
Zehe, die, 🦶
Zeichnung, die, 🎨
Zeit, die, ⏰
Zelt, das, ⛺
Zimmer, das, 🏠
Zucker, der, 🍬
Zuckerl, das, 🍬
Zug, der, 🚂
Zwerghase, der, 🐰
Zylinder, der, 🎩
Auge, das, 👁️

